Unit ID,Unit Name,Faction,Movement,Toughness,Save,Invunl Save,Wounds,Leadership,OC,Points,Model Count
882,Custodian Guard,Adeptus Custodes,6.0,6.0,2.0,4.0,3.0,6.0,2.0,200.0,5
883,Venerable Contemptor Dreadnought,Adeptus Custodes,6.0,9.0,2.0,5.0,10.0,6.0,3.0,170.0,1
884,Venerable Land Raider,Adeptus Custodes,10.0,12.0,2.0,,16.0,6.0,5.0,220.0,1
1446,Trajann Valoris,Adeptus Custodes,6.0,6.0,2.0,4.0,7.0,5.0,2.0,140.0,1
1447,Shield-captain,Adeptus Custodes,6.0,6.0,2.0,4.0,6.0,6.0,2.0,120.0,1
1448,Shield-captain In Allarus Terminator Armour,Adeptus Custodes,5.0,7.0,2.0,4.0,7.0,6.0,2.0,130.0,1
1449,Shield-captain On Dawneagle Jetbike,Adeptus Custodes,12.0,7.0,2.0,4.0,8.0,6.0,2.0,150.0,1
1450,Custodian Wardens,Adeptus Custodes,6.0,6.0,2.0,4.0,3.0,6.0,2.0,260.0,5
1453,Allarus Custodians,Adeptus Custodes,5.0,7.0,2.0,4.0,4.0,6.0,2.0,360.0,6
1454,Vertus Praetors,Adeptus Custodes,12.0,7.0,2.0,4.0,5.0,6.0,2.0,225.0,3
1458,Contemptor-achillus Dreadnought,Adeptus Custodes,6.0,9.0,2.0,5.0,10.0,6.0,3.0,155.0,1
1460,Caladius Grav-tank,Adeptus Custodes,10.0,11.0,2.0,5.0,14.0,6.0,4.0,215.0,1
1461,Coronus Grav-carrier,Adeptus Custodes,12.0,12.0,2.0,5.0,16.0,6.0,5.0,200.0,1
1479,Telemon Heavy Dreadnought,Adeptus Custodes,8.0,10.0,2.0,4.0,12.0,6.0,4.0,225.0,1
1557,Contemptor-galatus Dreadnought,Adeptus Custodes,6.0,9.0,2.0,4.0,10.0,6.0,3.0,165.0,1
1558,Aquilon Custodians,Adeptus Custodes,5.0,7.0,2.0,4.0,4.0,6.0,2.0,390.0,6
1559,Custodian Guard With Adrasite And Pyrithite Spears,Adeptus Custodes,6.0,6.0,2.0,4.0,3.0,6.0,2.0,250.0,5
1560,Agamatus Custodians,Adeptus Custodes,12.0,6.0,2.0,4.0,4.0,6.0,2.0,450.0,6
1561,Venatari Custodians,Adeptus Custodes,10.0,6.0,2.0,4.0,3.0,6.0,2.0,330.0,6
1562,Pallas Grav-attack,Adeptus Custodes,12.0,8.0,2.0,5.0,9.0,6.0,2.0,105.0,1
1563,Sagittarum Custodians,Adeptus Custodes,6.0,6.0,2.0,4.0,3.0,6.0,2.0,225.0,5
1564,Orion Assault Dropship,Adeptus Custodes,20.0,12.0,2.0,5.0,22.0,6.0,0.0,690.0,1
1680,Ares Gunship,Adeptus Custodes,20.0,12.0,2.0,5.0,22.0,6.0,0.0,580.0,1
2088,Aleya,Adeptus Custodes,6.0,3.0,3.0,5.0,4.0,6.0,1.0,65.0,1
2518,Blade Champion,Adeptus Custodes,6.0,6.0,2.0,4.0,6.0,6.0,2.0,120.0,1
2519,Valerian,Adeptus Custodes,6.0,6.0,2.0,4.0,6.0,6.0,2.0,110.0,1
2520,Knight-centura,Adeptus Custodes,6.0,3.0,3.0,5.0,4.0,6.0,1.0,55.0,1
2521,Prosecutors,Adeptus Custodes,6.0,3.0,3.0,,1.0,6.0,2.0,85.0,9
2522,Vigilators,Adeptus Custodes,6.0,3.0,3.0,,1.0,6.0,1.0,110.0,9
2523,Witchseekers,Adeptus Custodes,6.0,3.0,3.0,,1.0,6.0,1.0,125.0,9
